Company Name,URL,Twitter,Headquarters,Sub Category,Landscape name,Category,Domain
Adobe,http://www.adobe.com/,@Adobe,"Seattle, WA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.adobe.com/
Teradata,http://www.teradata.com/,@Teradata,"Dayton, OH",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.teradata.com/
hubspot,http://www.hubspot.com/,@HubSpot,"Cambridge, MA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.hubspot.com/
IBM,http://www.ibm.com/us/en/,@IBM,"Armonk, NY",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.ibm.com/us/en/
SDL,http://www.sdl.com/,@SDL,"London, UK",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.sdl.com/
Oracle,http://www.oracle.com/index.html,@Oracle,"Redwood Shores, CA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.oracle.com/index.html
infor,http://www.infor.com/,@Infor,"New York, NY",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.infor.com/
outmarket,https://www.outmarket.com/,@outmarket,"Washington, DC",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,https://www.outmarket.com/
salesforce,http://www.salesforce.com/,@salesforce,"San Francisco, CA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.salesforce.com/
SAP,http://go.sap.com/index.html,@SAP,"Walldorf, GER",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://go.sap.com/index.html
HP,http://www.hp.com/,@hpnews,"Palo Alto, CA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.hp.com/
Act on,https://www.act-on.com/,@ActOnSoftware,"Beaverton, OR",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,https://www.act-on.com/
sitecore,https://www.sitecore.net/,@Sitecore,"San Francisco, CA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,https://www.sitecore.net/
Marketo,http://www.marketo.com/,@marketo,"San Mateo, CA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.marketo.com/
infusionsoft,http://www.infusionsoft.com/,@Infusionsoft,"Chandler, AZ",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.infusionsoft.com/
Microsoft,http://www.microsoft.com/, @Microsoft,"Redmond, WA",Platform/Suite,Backbone Platforms,MarTech - Backbone Platforms - Platform/Suite,http://www.microsoft.com/
selligy,https://selligy.com/,@selligy,"San Carlos, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://selligy.com/
apto,http://www.aptotude.com/,@Aptotude,"Houston, TX",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.aptotude.com/
vtiger,https://www.vtiger.com/,@vtigercrm,"Sunnyvale, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.vtiger.com/
nutshell,https://www.nutshell.com/,@nutshell,"Ann Arbor, MI",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.nutshell.com/
infoflo,http://www.carmelvision.com/,@InfoFloSoftware,"Toronto, CAN",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.carmelvision.com/
zoho,https://www.zoho.com/,@zoho,"Chennai, IND",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.zoho.com/
netsuite,http://www.netsuite.com/,@NetSuite,"San Mateo, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.netsuite.com/
nimble,http://www.nimble.com/,@Nimble,CA ,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.nimble.com/
salesformics,http://salesformics.com/,@Salesformics,"Portsmouth, UK",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://salesformics.com/
method CRM,https://www.method.me/classic/,@MethodCRM,"Toronto, CAN",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.method.me/classic/
update CRM,http://www.update.com/,@updateCRM,"Vienna, AUT",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.update.com/
insightly,https://www.insightly.com/,@insightlyapp,"San Francisco, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.insightly.com/
talisma,http://www.talisma.com/,@talisma,"Karnataka, IND",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.talisma.com/
sugarCRM,http://www.sugarcrm.com/,@sugarcrm,"Cupertino, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.sugarcrm.com/
x2CRM,http://www.x2engine.com/,@x2engine,"Santa Cruz, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.x2engine.com/
workwise,http://www.workwisellc.com/,@WorkWiseERP,"Milwakee, WI",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.workwisellc.com/
clear C2,http://www.clearc2.com/,@C2CRM,"Coppell, TX",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.clearc2.com/
intouch,http://www.intouchcrm.com/,@intouchcrm,"North Somerset, UK",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.intouchcrm.com/
claritysoft,http://www.claritysoft.com/,@Claritysoft,Unknown,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.claritysoft.com/
sellsy,https://sellsy.com/,@sellsy_app,"La Rochelle, FRA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://sellsy.com/
karma CRM,http://www.karmacrm.com/,@karmaCRM,"Ann Arbor, MI",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.karmacrm.com/
swiftpage,http://www.swiftpage.com/,@Swiftpage,"Denver, CO",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.swiftpage.com/
pega,http://www.pega.com/,@pega,"Cambridge, MA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.pega.com/
fullcircle crm,http://fullcirclecrm.com/,@fullcirclecrm,"San Mateo, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://fullcirclecrm.com/
civiCRM,https://civicrm.org/,@civicrm,"San Francisco, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://civicrm.org/
dimelo,http://www.dimelo.com/,@Dimelo,"Paris, FRA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.dimelo.com/
tango CRM,http://www.gettango.com/,@brandtango,"Fort Lauderdale, FL",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.gettango.com/
streak,https://www.streak.com/,@Streak,"San Francisco, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.streak.com/
highrise,https://highrisehq.com/,@highrise,Unknown,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://highrisehq.com/
steelwedge,http://www.steelwedge.com/,@steelwedge,"Pleasanton, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.steelwedge.com/
capillary,http://capillarytech.com/,@capillarytech,"Mountain View, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://capillarytech.com/
nexj,http://www.nexj.com/,@nexj,"Toronto, CAN",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.nexj.com/
agileCRM,https://www.agilecrm.com/,@agilecrm,"Sunnyvale, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.agilecrm.com/
onepage CRM,http://www.onepagecrm.com/,@OnePageCRM,IRL,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.onepagecrm.com/
batchbook,http://batchbook.com/,@batchbook,"Providence, RI",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://batchbook.com/
lanternCRM,https://www.lanterncrm.com/,@LanternCRM,"Austin, TX",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.lanterncrm.com/
salesJunction,http://www.salesjunction.com/,@SalesJunction,"Atlanta, GA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.salesjunction.com/
future simpe,https://www.futuresimple.com/,@futuresimpleinc,"Chicago, IL",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.futuresimple.com/
SAGE,http://na.sage.com/us/promos/4,@SageNAmerica,Unknown,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://na.sage.com/us/promos/4
salesnet,https://www.salesnet.com/,@Salesnet,"Atlanta, GA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.salesnet.com/
apptivo,http://www.apptivo.com/,@Apptivo,"Fremont, CA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.apptivo.com/
maximizer CRM,http://www.maximizer.com/,@MaximizerCRM,"Vancouver, CAN",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.maximizer.com/
work etc,https://www.worketc.com/,@WORKetc,Unknown,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://www.worketc.com/
zurmo,http://zurmo.org/,@ZurmoCRM,"Chicago, IL",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://zurmo.org/
capsule,https://capsulecrm.com/,@CapsuleCRM,UK,CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,https://capsulecrm.com/
aptean,http://www.aptean.com/,@Aptean,"Atlanta, GA",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.aptean.com/
logicbox,http://www.logicboxsoftware.com/,@LogicBoxInc,"Portland, OR",CRM,Backbone Platforms,MarTech - Backbone Platforms - CRM,http://www.logicboxsoftware.com/
leadlander,http://www.leadlander.com/,@LeadLander,"San Francisco, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.leadlander.com/
convertable,http://convertable.com/,@convertable,"Richmond, VA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://convertable.com/
inbox25,http://www.inbox25.com/,@INBOX25,"New York, NY",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.inbox25.com/
adaptiv.io,http://www.adaptiv.io/,@adaptivio,"Newport Beach, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.adaptiv.io/
signpost,http://www.signpost.com/,@SignpostSMB,Unknown,Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.signpost.com/
convertr,http://www.convertrmedia.com/,@convertrmedia,"London, UK",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.convertrmedia.com/
ad luge,http://www.adluge.com/,@AdLuge,"Toronto, CAN",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.adluge.com/
ontraport,https://ontraport.com/,@ONTRAPORT,"Santa Babara, CA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,https://ontraport.com/
salesfusion,http://www.salesfusion.com/,@Salesfusion,"Altanta, GA",Marketing Automation/Campaign & Lead Mgmt,Backbone Platforms,MarTech - Backbone Platforms - Marketing Automation/Campaign & Lead Mgmt,http://www.salesfusion.com/
